Data Table for Daily Case Trends - The United States
Date generated: Sat Sep 04 2021 17:10:44 GMT-0400 (Eastern Daylight Time)
State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Sep  3 2021,157997,150316,884
United States,Sep  2 2021,164852,153056,1214
United States,Sep  1 2021,179124,155324,1159
United States,Aug 31 2021,164498,154320,1102
United States,Aug 30 2021,128332,153423,406
United States,Aug 29 2021,115431,151670,179
United States,Aug 28 2021,141980,151346,361
United States,Aug 27 2021,177177,150721,783
United States,Aug 26 2021,180731,148564,585
United States,Aug 25 2021,172093,146414,637
United States,Aug 24 2021,158222,146848,667
United States,Aug 23 2021,116056,146802,341
United States,Aug 22 2021,113169,146025,70
United States,Aug 21 2021,137605,145255,376
United States,Aug 20 2021,162076,145241,2281
United States,Aug 19 2021,165680,143274,670
United States,Aug 18 2021,175129,141873,1280
United States,Aug 17 2021,157905,138723,536
United States,Aug 16 2021,110611,136430,251
United States,Aug 15 2021,107781,134263,74
United States,Aug 14 2021,137505,132276,167
United States,Aug 13 2021,148311,129993,607
United States,Aug 12 2021,155875,126764,631
United States,Aug 11 2021,153074,123232,549
United States,Aug 10 2021,141859,119907,487
United States,Aug  9 2021,95437,116333,385
United States,Aug  8 2021,93875,114278,42
United States,Aug  7 2021,121521,111510,99
United States,Aug  6 2021,125708,107436,8113
United States,Aug  5 2021,131156,104845,665
United States,Aug  4 2021,129798,100422,640
United States,Aug  3 2021,116842,95561,748
United States,Aug  2 2021,81046,91338,131
United States,Aug  1 2021,74502,88047,44
United States,Jul 31 2021,93002,84839,164
United States,Jul 30 2021,107572,80328,691
United States,Jul 29 2021,100196,74951,391
United States,Jul 28 2021,95769,70789,436
United States,Jul 27 2021,87283,66460,424
United States,Jul 26 2021,58010,61576,54
United States,Jul 25 2021,52046,58649,44
United States,Jul 24 2021,61423,56211,138
United States,Jul 23 2021,69931,52832,533
United States,Jul 22 2021,71065,49092,457
United States,Jul 21 2021,65464,45051,301
United States,Jul 20 2021,53096,41568,309
United States,Jul 19 2021,37519,39089,301
United States,Jul 18 2021,34980,37211,45
United States,Jul 17 2021,37775,35154,71
United States,Jul 16 2021,43749,33228,179
United States,Jul 15 2021,42777,31148,263
United States,Jul 14 2021,41082,29413,240
United States,Jul 13 2021,35741,27057,156
United States,Jul 12 2021,24374,24352,85
United States,Jul 11 2021,20582,22457,83
United States,Jul 10 2021,24294,21294,123
United States,Jul  9 2021,29190,20004,686
United States,Jul  8 2021,30633,18289,101
United States,Jul  7 2021,24586,16602,203
United States,Jul  6 2021,16807,15634,71
United States,Jul  5 2021,11109,15574,34
United States,Jul  4 2021,12440,15531,27
United States,Jul  3 2021,15266,15122,111
United States,Jul  2 2021,17184,14805,129
United States,Jul  1 2021,18823,14400,122
United States,Jun 30 2021,17812,13925,136
United States,Jun 29 2021,16385,13463,122
United States,Jun 28 2021,10809,13103,44
United States,Jun 27 2021,9576,12778,58
United States,Jun 26 2021,13051,12698,0
United States,Jun 25 2021,14346,12583,0
United States,Jun 24 2021,15498,12213,0
United States,Jun 23 2021,14576,11970,0
United States,Jun 22 2021,13871,11836,0
United States,Jun 21 2021,8533,11741,0
United States,Jun 20 2021,9011,11727,0
United States,Jun 19 2021,12252,11657,0
United States,Jun 18 2021,11756,11635,0
United States,Jun 17 2021,13797,11992,0
United States,Jun 16 2021,13633,12360,0
United States,Jun 15 2021,13208,13195,0
United States,Jun 14 2021,8432,13386,0
United States,Jun 13 2021,8521,13648,0
United States,Jun 12 2021,12102,13975,0
United States,Jun 11 2021,14251,14335,0
United States,Jun 10 2021,16379,14944,1
United States,Jun  9 2021,19473,15322,464
United States,Jun  8 2021,14546,14953,0
United States,Jun  7 2021,10270,14210,0
United States,Jun  6 2021,10806,14030,0
United States,Jun  5 2021,14625,14158,0
United States,Jun  4 2021,18510,14313,0
United States,Jun  3 2021,19030,14592,0
United States,Jun  2 2021,16888,14990,0
United States,Jun  1 2021,9346,15970,0
United States,May 31 2021,9011,18092,1
United States,May 30 2021,11702,19082,0
United States,May 29 2021,15710,19551,0
United States,May 28 2021,20457,20388,0
United States,May 27 2021,21817,21436,0
United States,May 26 2021,23753,22271,0
United States,May 25 2021,24196,22925,0
United States,May 24 2021,15939,23594,0
United States,May 23 2021,14990,24137,0
United States,May 22 2021,21567,24929,0
United States,May 21 2021,27790,25927,0
United States,May 20 2021,27668,26785,0
United States,May 19 2021,28326,27919,0
United States,May 18 2021,28881,28915,0
United States,May 17 2021,19739,29768,0
United States,May 16 2021,20532,30492,0
United States,May 15 2021,28554,31309,42
United States,May 14 2021,33800,32373,0
United States,May 13 2021,35602,33774,0
United States,May 12 2021,35297,34858,0
United States,May 11 2021,34854,36343,0
United States,May 10 2021,24810,37732,0
United States,May  9 2021,26252,38973,0
United States,May  8 2021,35996,40252,0
United States,May  7 2021,43609,41850,0
United States,May  6 2021,43193,43463,0
United States,May  5 2021,45689,45478,0
United States,May  4 2021,44576,46863,0
United States,May  3 2021,33501,48058,0
United States,May  2 2021,35203,48941,0
United States,May  1 2021,47180,49560,0
United States,Apr 30 2021,54901,50276,0
United States,Apr 29 2021,57302,51520,0
United States,Apr 28 2021,55380,52022,0
United States,Apr 27 2021,52940,53299,0
United States,Apr 26 2021,39683,54508,-9005
United States,Apr 25 2021,39539,53806,0
United States,Apr 24 2021,52190,54991,0
United States,Apr 23 2021,63606,58088,0
United States,Apr 22 2021,60818,59076,0
United States,Apr 21 2021,64318,61069,0
United States,Apr 20 2021,61404,62447,0
United States,Apr 19 2021,34773,64326,0
United States,Apr 18 2021,47828,68063,0
United States,Apr 17 2021,73874,68337,0
United States,Apr 16 2021,70520,67227,0
United States,Apr 15 2021,74770,68420,0
United States,Apr 14 2021,73960,68640,0
United States,Apr 13 2021,74562,69332,0
United States,Apr 12 2021,60933,68267,0
United States,Apr 11 2021,49741,67643,0
United States,Apr 10 2021,66109,66799,0
United States,Apr  9 2021,78869,66244,72
United States,Apr  8 2021,76306,65079,0
United States,Apr  7 2021,78807,64728,0
United States,Apr  6 2021,67104,63838,0
United States,Apr  5 2021,56565,63301,0
United States,Apr  4 2021,43837,63437,0
United States,Apr  3 2021,62225,64571,0
United States,Apr  2 2021,70710,64596,0
United States,Apr  1 2021,73850,65391,0
United States,Mar 31 2021,72575,64393,0
United States,Mar 30 2021,63345,63817,0
United States,Mar 29 2021,57517,63217,0
United States,Mar 28 2021,51777,62003,0
United States,Mar 27 2021,62400,60815,0
United States,Mar 26 2021,76274,60014,0
United States,Mar 25 2021,66869,57832,0
United States,Mar 24 2021,68538,57226,0
United States,Mar 23 2021,59145,56291,0
United States,Mar 22 2021,49018,55608,0
United States,Mar 21 2021,43461,54778,0
United States,Mar 20 2021,56798,54609,0
United States,Mar 19 2021,60999,53998,0
United States,Mar 18 2021,62627,54122,0
United States,Mar 17 2021,61993,53626,0
United States,Mar 16 2021,54364,53160,0
United States,Mar 15 2021,43207,53126,0
United States,Mar 14 2021,42280,52976,0
United States,Mar 13 2021,52517,52936,0
United States,Mar 12 2021,61869,53377,0
United States,Mar 11 2021,59153,53408,0
United States,Mar 10 2021,58735,54181,0
United States,Mar  9 2021,54126,55143,891
United States,Mar  8 2021,42154,55182,0
United States,Mar  7 2021,42002,56513,0
United States,Mar  6 2021,55601,57485,0
United States,Mar  5 2021,62087,58992,0
United States,Mar  4 2021,64565,60270,0
