"date","death","deathIncrease","inIcuCumulative","inIcuCurrently","hospitalizedIncrease","hospitalizedCurrently","hospitalizedCumulative","negative","negativeIncrease","onVentilatorCumulative","onVentilatorCurrently","positive","positiveIncrease","states","totalTestResults","totalTestResultsIncrease"
"2021-03-07",515148,839,45475,8137,726,40212,878613,74582825,131835,4281,2801,28756184,41530,56,363824818,1169754
"2021-03-06",514309,1680,45453,8409,503,41401,877887,74450990,143835,4280,2811,28714654,60015,56,362655064,1430992
"2021-03-05",512629,2221,45373,8634,2781,42541,877384,74307155,271917,4275,2889,28654639,68787,56,361224072,1744417
"2021-03-04",510408,1743,45293,8970,1530,44172,874603,74035238,177957,4267,2973,28585852,65487,56,359479655,1590984
"2021-03-03",508665,2449,45214,9359,2172,45462,873073,73857281,267001,4260,3094,28520365,66836,56,357888671,1406795
"2021-03-02",506216,1728,45084,9465,1871,46388,870901,73590280,255779,4257,3169,28453529,54248,56,356481876,1343519
"2021-03-01",504488,1241,44956,9595,1024,46738,869030,73334501,118077,4252,3171,28399281,48092,56,355138357,1154440
"2021-02-28",503247,1051,44907,9802,879,47352,868006,73216424,203599,4252,3245,28351189,54349,56,353983917,1408422
"2021-02-27",502196,1847,44875,10114,1428,48871,867127,73012825,205090,4252,3335,28296840,71245,56,352575495,1655179
"2021-02-26",500349,2141,44791,10466,1933,51112,865699,72807735,276829,4247,3466,28225595,74857,56,350920316,1803309
"2021-02-25",498208,3138,44636,10846,1982,52669,863766,72530906,272209,4233,3567,28150738,75565,56,349117007,1826144
"2021-02-24",495070,2447,44534,11026,2172,54118,861784,72258697,245318,4227,3685,28075173,73258,56,347290863,1450666
"2021-02-23",492623,2241,44420,11272,2164,55058,859612,72013379,225267,4214,3755,28001915,69105,56,345840197,1193835
"2021-02-22",490382,1235,44266,11536,1305,55403,857448,71788112,123611,4200,3804,27932810,52530,56,344646362,1201247
"2021-02-21",489147,1287,44216,11862,997,56159,856143,71664501,156778,4197,3915,27880280,58702,56,343445115,1232995
"2021-02-20",487860,2160,44166,12120,1732,58222,855146,71507723,141790,4197,3932,27821578,72354,56,342212120,1290481
"2021-02-19",485700,2477,44085,12491,2674,59882,853414,71365933,224755,4187,4118,27749224,74676,56,340921639,1878033
"2021-02-18",483223,2616,43964,13045,2497,62300,850740,71141178,218491,4178,4180,27674548,66824,56,339043606,1345849
"2021-02-17",480607,2348,43823,13103,2857,63405,848243,70922687,233666,4154,4271,27607724,66839,56,337697757,1298421
"2021-02-16",478259,1353,43673,13616,2094,64533,845386,70689021,101102,4149,4406,27540885,56312,56,336399336,1053698
